days_bef_start_point,GE,amazon,apple,bp,chevron,coke,corteva,dowjones,exxon,general,gm,microsoft,nasdaq,next,pepsi,shell,sp500,target,tesla,total,walmart
15,99.96197645606367,,,,,,,,,,,,,,,,,,,,
29,87.51992658072032,,,,,,,,,,,,,,,,,,,,
44,91.99035816749068,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,6.264073603824565,,,,,
58,94.24505463163665,,,,,,,,,,,,,,,,,,,,
73,95.16314533830766,,,,,,,,,,,,,,,,,,,,
87,96.72512966083754,,,,,,,,,,,,,,,,,,,,
96,,,,,,,13.165948624113463,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,7.3874087779897755,,,,,
102,98.2278278290377,,,,,,,,,,,,,,,,,,,,
116,98.80231915069736,,,,,,,,,,,,,,,,,,,,
131,99.7568378914363,,,,,,,,,,,,,,,,,,,,
145,99.00055568006255,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,7.221576679142757,,,,,
160,99.0817026282046,,,,,,,,,,,,,,,,,,,,
174,99.45689321931832,,,,,,,,,,,,,,,,,,,,
189,99.62871622776305,,,,,,,,,,,,,,,,,,,,
191,,,,,,,13.492913649041805,,,,,,,,,,,,,,
203,99.80847774706201,,,,,,,,,,,,,,,7.642981693957438,,,,,
218,99.91614640232204,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,24.131755643977197,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,84.16549783654719,,
253,,,,,,,,,,,,,,,,7.983411483584881,,,,,
287,,,,,,,14.039102591421972,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,7.954395757843303,,,,,
335,,,,18.80467536467416,,,,,,,,,18.974031404939268,17.40628094237607,,,,,,14.482304496205094,
355,,,,,,,,,,,,,,,,8.182158219497413,,,,,
383,,,,,,,13.809599619552372,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,8.236185978604876,,,,,
456,,,,,,,,,,,,,,,,8.384688857677714,,,,,
465,,70.71587677507289,,,,,,,,,,,,,,,,,,,
478,,,,,,,13.37071022847367,,,,23.46626160834572,,,,,,,,,,
491,,,,,,,,,,,,,,,,,,,84.26353901182483,,
507,,,,,,,,,,,,,,,,8.364348922329667,,,,,
557,,,,,,,,,,,,,,,,8.356429296588136,,,,,
574,,,,,,,13.073477208150129,,,,,,,,,,,,,,
608,,,,,,,,,,,,,,,,8.137222064775667,,,,,
654,,,,,,,,,,,,28.28614310434569,,,,,,,,,
659,,,,,,,,,,,,,,,,8.06023712005352,,,,,
670,,,,18.929983364664892,,,13.192218827798788,,,,,,19.493144893977984,16.860622877155784,,,,,,14.990503466632301,
679,,,43.650540204470886,,,,,,,,,,,,,,,,,,
700,,,,,,,,,,14.10797468456376,,,,,,,,,,,
703,,,,,,,,,,,,,,,,,,22.66085964903009,,,
709,,,,,,,,,,,,,,,,7.9346655457298265,,,,,
717,,,,,,,,,,,23.58137944939382,,,,,,,,,,
736,,,,,,,,,,,,,,,,,,,84.18155182482764,,
760,,,,,,,,,,,,,,,,7.839501863869708,,,,,
765,,,,,,,13.732855024257319,,,,,,,,,,,,,,
809,,,,,,,,,,,,,,,13.496290603848212,,,,,,
861,,,,,,,13.672708494489134,,,,,,,,,,,,,,
884,,,,,,,,,,,,,,,,,,,,,28.35602538122624
926,,,,,16.397738678080366,,,,13.876944110408328,,,,,,,,,,,,
927,,,,,,18.065086321433178,,,,,,,,,,,,,,,
930,,71.70947446360366,,,,,,,,,,,,,,,,,,,
955,,,,,,,,,,,23.449692926119603,,,,,,,,,,
957,,,,,,,13.570366501665452,,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,84.27590040086453,,
1005,,,,19.739386687285553,,,,,,,,,19.565323759343546,16.373353755453827,,,,,,15.345977577060506,
1052,,,,,,,13.257598352169117,,,,,,,,,,,,,,
1148,,,,,,,13.218917324531828,,,,,,,,,,,,,,
1194,,,,,,,,,,,22.959808756583623,,,,,,,,,,
1227,,,,,,,,,,,,,,,,,,,84.3704103716095,,
1244,,,,,,,12.914749023231915,,,,,,,,,,,,,,
1308,,,,,,,,,,,,28.32464004885389,,,,,,,,,
1339,,,,,,,12.880105089315743,,,,,,,,,,,,,,
1340,,,,19.81963646767503,,,,,,,,,18.888488744171248,15.983552774396458,,,,,,14.87608940178482,
1358,,,43.632971560897694,,,,,,,,,,,,,,,,,,
1395,,72.09565482286109,,,,,,,,,,,,,,,,,,,
1401,,,,,,,,,,14.175542260283004,,,,,,,,,,,
1407,,,,,,,,,,,,,,,,,,22.4372386342968,,,
1433,,,,,,,,,,,22.722941615125386,,,,,,,,,,
1435,,,,,,,12.866677450066812,,,,,,,,,,,,,,
1473,,,,,,,,,,,,,,,,,,,84.02990544761748,,
1617,,,,,,,,,,,,,,,13.425199228931207,,,,,,
1672,,,,,,,,,,,22.8061903539169,,,,,,,,,,
1675,,,,19.581412199797537,,,,,,,,,18.339037365508563,15.8814994964781,,,,,,14.910560026704715,
1718,,,,,,,,,,,,,,,,,,,83.93416583133434,,
1769,,,,,,,,,,,,,,,,,,,,,27.435023193817475
1853,,,,,16.16801541029458,18.18709713832493,,,14.042505613422454,,,,,,,,,,,,
1860,,72.11527654912312,,,,,,,,,,,,,,,,,,,
1911,,,,,,,,,,,22.832060333525657,,,,,,,,,,
1961,,,,,,,,,,,,28.052339652701484,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,83.98788397189976,,
2010,,,,19.345551484145965,,,,,,,,,17.952641136942393,15.787164081825466,,,,,,14.829682206289604,
2037,,,43.53656154477396,,,,,,,,,,,,,,,,,,
2101,,,,,,,,,,14.34230259753657,,,,,,,,,,,
2110,,,,,,,,,,,,,,,,,,22.575930093521478,,,
2150,,,,,,,,,,,22.75127384777891,,,,,,,,,,
2209,,,,,,,,,,,,,,,,,,,83.86043946255259,,
2222,,,,,,,,14.751572539695315,,,,,,,,,,,,,
2325,,71.68586715111901,,,,,,,,,,,,,,,,,,,
2345,,,,19.286011221034464,,,,,,,,,17.91028648915684,15.603548997039093,,,,,,14.888826985581773,
2389,,,,,,,,,,,22.798276150891006,,,,,,,,,,
2426,,,,,,,,,,,,,,,13.563441320318672,,,,,,
2455,,,,,,,,,,,,,,,,,,,83.80325766480225,,
2615,,,,,,,,,,,,27.695495057049058,,,,,,,,,
2626,,,,,,,,,,,,,,,,,14.957078972004053,,,,
2628,,,,,,,,,,,22.845943931382255,,,,,,,,,,
2653,,,,,,,,,,,,,,,,,,,,,26.74329152171734
2679,,,,,,,,,,,,,17.73456952687413,15.473255870341095,,,,,,14.981070923902104,
2680,,,,19.388732520428782,,,,,,,,,,,,,,,,,
2700,,,,,,,,,,,,,,,,,,,83.78708150240169,,
2717,,,43.29836401418839,,,,,,,,,,,,,,,,,,
2779,,,,,16.25278245772709,,,,14.041049447168684,,,,,,,,,,,,
2780,,,,,,17.975251371160855,,,,,,,,,,,,,,,
2790,,71.3330138527051,,,,,,,,,,,,,,,,,,,
2801,,,,,,,,,,14.250294218353881,,,,,,,,,,,
2813,,,,,,,,,,,,,,,,,,22.3292617152546,,,
2866,,,,,,,,,,,22.889232059201728,,,,,,,,,,
2946,,,,,,,,,,,,,,,,,,,83.83356910435347,,
3014,,,,,,,,,,,,,17.52788849244148,15.423083944953888,,,,,,15.069535630905406,
3015,,,,19.371740021192934,,,,,,,,,,,,,,,,,
3105,,,,,,,,,,,22.891115818521016,,,,,,,,,,
3191,,,,,,,,,,,,,,,,,,,83.87465543500136,,
3235,,,,,,,,,,,,,,,13.561325786543025,,,,,,
3255,,71.17700438978659,,,,,,,,,,,,,,,,,,,
3269,,,,,,,,,,,,27.5226410958579,,,,,,,,,
3344,,,,,,,,,,,22.88416525657292,,,,,,,,,,
3349,,,,,,,,,,,,,17.470652790552467,15.557549861442613,,,,,,14.947897451652675,
3350,,,,19.29694278921447,,,,,,,,,,,,,,,,,
3396,,,43.3030059213335,,,,,,,,,,,,,,,,,,
3437,,,,,,,,,,,,,,,,,,,83.83860083055066,,
3501,,,,,,,,,,14.183839099372076,,,,,,,,,,,
3517,,,,,,,,,,,,,,,,,,22.36203404905343,,,
3538,,,,,,,,,,,,,,,,,,,,,26.302554700933584
3583,,,,,,,,,,,22.88180031683374,,,,,,,,,,
3682,,,,,,,,,,,,,,,,,,,83.85099146538617,,
3684,,,,,,,,,,,,,17.693104816454436,15.664155860468265,,,,,,15.011409799911899,
3685,,,,19.35474064770766,,,,,,,,,,,,,,,,,
3705,,,,,,,,,14.08146199272374,,,,,,,,,,,,
3706,,,,,16.18810434008553,18.09391454350231,,,,,,,,,,,,,,,
3721,,70.8917146863026,,,,,,,,,,,,,,,,,,,
3923,,,,,,,,,,,,27.582310155848155,,,,,,,,,
4019,,,,,,,,,,,,,17.568237388736655,15.592881305112751,,,,,,15.045413439163065,
4020,,,,19.430747684548656,,,,,,,,,,,,,,,,,
4044,,,,,,,,,,,,,,,13.512397240641207,,,,,,
4075,,,43.246454002916366,,,,,,,,,,,,,,,,,,
4186,,70.5634891444186,,,,,,,,,,,,,,,,,,,
4202,,,,,,,,,,14.265773047920458,,,,,,,,,,,
4220,,,,,,,,,,,,,,,,,,22.41095499046201,,,
4354,,,,,,,,,,,,,17.722429399678894,15.532028923789094,,,,,,14.988370017516857,
4355,,,,19.446239120064885,,,,,,,,,,,,,,,,,
4422,,,,,,,,,,,,,,,,,,,,,26.156727357405654
4443,,,,,,,,14.882636809439006,,,,,,,,,,,,,
4577,,,,,,,,,,,,27.596671898487884,,,,,,,,,
4632,,,,,16.17220876713627,,,,14.01284829235455,,,,,,,,,,,,
4633,,,,,,18.05981123082559,,,,,,,,,,,,,,,
4651,,70.31511097783041,,,,,,,,,,,,,,,,,,,
4689,,,,,,,,,,,,,17.715613661613656,15.54298348434404,,,,,,14.98123971568965,
4690,,,,19.411395537559056,,,,,,,,,,,,,,,,,
4754,,,43.176370685395185,,,,,,,,,,,,,,,,,,
4852,,,,,,,,,,,,,,,13.55604897612674,,,,,,
4902,,,,,,,,,,14.221448519879898,,,,,,,,,,,
4923,,,,,,,,,,,,,,,,,,22.398677664033602,,,
5024,,,,,,,,,,,,,17.73351837336893,15.55362373792594,,,,,,14.988480496202431,
5025,,,,19.395363187000903,,,,,,,,,,,,,,,,,
5116,,70.34346003726066,,,,,,,,,,,,,,,,,,,
5230,,,,,,,,,,,,27.63967190745315,,,,,,,,,
5251,,,,,,,,,,,,,,,,,15.002837651428905,,,,
5307,,,,,,,,,,,,,,,,,,,,,26.7053171768503
5433,,,43.06930633273068,,,,,,,,,,,,,,,,,,
5558,,,,,16.192165590871827,,,,14.021212446938181,,,,,,,,,,,,
5560,,,,,,17.995080281600764,,,,,,,,,,,,,,,
5581,,70.29987465016008,,,,,,,,,,,,,,,,,,,
5602,,,,,,,,,,14.213337749456414,,,,,,,,,,,
5627,,,,,,,,,,,,,,,,,,22.410583707523365,,,
5661,,,,,,,,,,,,,,,13.588185545403046,,,,,,
5884,,,,,,,,,,,,27.69801518547415,,,,,,,,,
6046,,70.29620878268896,,,,,,,,,,,,,,,,,,,
6112,,,42.93864036991286,,,,,,,,,,,,,,,,,,
6191,,,,,,,,,,,,,,,,,,,,,26.598491709014773
6302,,,,,,,,,,14.212624769267975,,,,,,,,,,,
6330,,,,,,,,,,,,,,,,,,22.463512638583577,,,
6470,,,,,,,,,,,,,,,13.627440241056032,,,,,,
6484,,,,,,,,,13.986975965065625,,,,,,,,,,,,
6485,,,,,16.166829671652003,,,,,,,,,,,,,,,,
6486,,,,,,18.010121123092517,,,,,,,,,,,,,,,
6511,,70.26809500645443,,,,,,,,,,,,,,,,,,,
6538,,,,,,,,,,,,27.760493658980305,,,,,,,,,
6665,,,,,,,,14.886229796782718,,,,,,,,,,,,,
6791,,,42.97555722368494,,,,,,,,,,,,,,,,,,
6976,,70.30953246085404,,,,,,,,,,,,,,,,,,,
7003,,,,,,,,,,14.187106037136985,,,,,,,,,,,
7033,,,,,,,,,,,,,,,,,,22.472427639839196,,,
7076,,,,,,,,,,,,,,,,,,,,,27.038845558053588
7192,,,,,,,,,,,,27.656161749833217,,,,,,,,,
7279,,,,,,,,,,,,,,,13.630623868606001,,,,,,
7411,,,,,16.189885883813357,,,,14.003541814556959,,,,,,,,,,,,
7413,,,,,,17.99064889953309,,,,,,,,,,,,,,,
7470,,,42.98341883858254,,,,,,,,,,,,,,,,,,
7703,,,,,,,,,,14.182647712753438,,,,,,,,,,,
7737,,,,,,,,,,,,,,,,,,22.45772848039693,,,
7846,,,,,,,,,,,,27.541203085362856,,,,,,,,,
7877,,,,,,,,,,,,,,,,,15.055503297160792,,,,
7960,,,,,,,,,,,,,,,,,,,,,27.71093251413467
8087,,,,,,,,,,,,,,,13.63509857840375,,,,,,
8150,,,42.99403044848758,,,,,,,,,,,,,,,,,,
8337,,,,,,,,,14.001505611458814,,,,,,,,,,,,
8338,,,,,16.21727258468024,,,,,,,,,,,,,,,,
8339,,,,,,17.978476790994364,,,,,,,,,,,,,,,
8403,,,,,,,,,,14.178866643570185,,,,,,,,,,,
8440,,,,,,,,,,,,,,,,,,22.422476545179222,,,
8499,,,,,,,,,,,,27.446816952140097,,,,,,,,,
8829,,,43.00115757200232,,,,,,,,,,,,,,,,,,
8845,,,,,,,,,,,,,,,,,,,,,28.319637341972484
8887,,,,,,,,14.899717910033392,,,,,,,,,,,,,
8896,,,,,,,,,,,,,,,13.659662643853956,,,,,,
9103,,,,,,,,,,14.167321513535718,,,,,,,,,,,
9143,,,,,,,,,,,,,,,,,,22.430483525301145,,,
9153,,,,,,,,,,,,27.46040084708486,,,,,,,,,
9263,,,,,,,,,13.978864233343014,,,,,,,,,,,,
9264,,,,,16.222956808179333,,,,,,,,,,,,,,,,
9266,,,,,,17.980188285661878,,,,,,,,,,,,,,,
9508,,,42.99260645509409,,,,,,,,,,,,,,,,,,
9705,,,,,,,,,,,,,,,13.677038744483625,,,,,,
9729,,,,,,,,,,,,,,,,,,,,,28.762349228661225
9804,,,,,,,,,,14.184720801030172,,,,,,,,,,,
9807,,,,,,,,,,,,27.500565829814906,,,,,,,,,
9847,,,,,,,,,,,,,,,,,,22.436758767941967,,,
10187,,,42.99268222859027,,,,,,,,,,,,,,,,,,
10190,,,,,16.2296951945354,,,,13.956308836129072,,,,,,,,,,,,
10193,,,,,,17.972764421030643,,,,,,,,,,,,,,,
10503,,,,,,,,,,,,,,,,,15.142486630401487,,,,
10504,,,,,,,,,,14.18795828271185,,,,,,,,,,,
10514,,,,,,,,,,,,,,,13.677416419770406,,,,,,
10550,,,,,,,,,,,,,,,,,,22.43270865467295,,,
10614,,,,,,,,,,,,,,,,,,,,,29.105617344308815
11108,,,,,,,,14.968751837105888,,,,,,,,,,,,,
11116,,,,,,,,,13.942609956149383,,,,,,,,,,,,
11117,,,,,16.224679024369728,,,,,,,,,,,,,,,,
11119,,,,,,17.964547257538822,,,,,,,,,,,,,,,
11322,,,,,,,,,,,,,,,13.681176626789656,,,,,,
11498,,,,,,,,,,,,,,,,,,,,,29.021326994289467
12042,,,,,,,,,13.934670905455672,,,,,,,,,,,,
12043,,,,,16.219215619253696,,,,,,,,,,,,,,,,
12046,,,,,,17.970857159625552,,,,,,,,,,,,,,,
12131,,,,,,,,,,,,,,,13.678916683001088,,,,,,
12383,,,,,,,,,,,,,,,,,,,,,29.052137682904693
12969,,,,,,,,,13.93676562393242,,,,,,,,,,,,
12970,,,,,16.222490365286976,,,,,,,,,,,,,,,,
12972,,,,,,17.964484495732652,,,,,,,,,,,,,,,
13128,,,,,,,,,,,,,,,,,15.09344881946672,,,,
13267,,,,,,,,,,,,,,,,,,,,,28.8974067967186
13330,,,,,,,,14.983554161189744,,,,,,,,,,,,,
13895,,,,,,,,,13.936687127140392,,,,,,,,,,,,
13896,,,,,16.221803848198874,,,,,,,,,,,,,,,,
13899,,,,,,17.967044539329745,,,,,,,,,,,,,,,
15552,,,,,,,,14.942513308510579,,,,,,,,,,,,,
15754,,,,,,,,,,,,,,,,,15.027244291235721,,,,
17773,,,,,,,,14.919330842315938,,,,,,,,,,,,,
18380,,,,,,,,,,,,,,,,,15.054172071948258,,,,
19995,,,,,,,,14.955373082213955,,,,,,,,,,,,,
21005,,,,,,,,,,,,,,,,,15.056825864957446,,,,
22217,,,,,,,,14.935682717982594,,,,,,,,,,,,,
23631,,,,,,,,,,,,,,,,,15.03449954883338,,,,
24438,,,,,,,,14.919224756014376,,,,,,,,,,,,,
26257,,,,,,,,,,,,,,,,,15.057842119914358,,,,
26660,,,,,,,,14.914045762128035,,,,,,,,,,,,,
28882,,,,,,,,14.91583851379684,,,,,,,,,15.0573941753349,,,,
31103,,,,,,,,14.915794641187508,,,,,,,,,,,,,
31508,,,,,,,,,,,,,,,,,15.051149062493147,,,,
33325,,,,,,,,14.91425814862055,,,,,,,,,,,,,
34134,,,,,,,,,,,,,,,,,15.0541840499512,,,,
36759,,,,,,,,,,,,,,,,,15.047323872868821,,,,
39385,,,,,,,,,,,,,,,,,15.031604351228117,,,,
